Level,Number,Description,Tags,Owner,Status,Estimate,Remaining,Wiki,Watchers,Related,Duplicate,Version 1
3,184,Run cucumber tests seven times,Testing,delebota,Completed,1,0,,,,,
3,185,Compile HTML reports of cucumber tests,Testing,delebota,Completed,1,0,,,,,
3,186,Verify that all tests pass and collaborate to perform any fixes that may be required,Testing,delebota,Completed,8,0,,,,,
1,187,"""Click test""",Testing,,Completed,4,0,,,,,
2,188,Click through the website as a normal user would and ensure that the user experience is fluid,Testing,delebota,Completed,2,0,,,,,
2,189,Build usability report and discuss with group,Testing,delebota,Completed,2,0,,,,,
1,157,Add a Favicon,Page Creation,alephtwo,Completed,0.5,0,,,,,
1,158,Add permission slider,"Rails,Usability",alephtwo,Completed,2,0,,,,,
2,171,"Completed work for task: ""Add permission slider""",,alephtwo,Completed,1,0,,,,,
2,170,Make permission slider use descriptive text as label,,alephtwo,Completed,1,0,,,,,
1,164,Replace all filler images that remain,,alephtwo,Completed,1,0,,,,,
1,165,Replace all filler text that remains,,alephtwo,Completed,0.5,0,,,,,
1,166,Make background change with season,,alephtwo,Completed,1,0,,,,,
1,172,Users must OPT IN to mailing lists in order to receive mail,,,Completed,1,0,,,,,
2,173,Allow users the option to unsubscribe,,alephtwo,Completed,1,0,,,,,
1,204,Convert tables to use jquery datatables,,alephtwo,Completed,0.5,0,,,,,
1,210,Set up order cancellation structure,,alephtwo,Completed,2,0,,,,,
2,211,Email out when cancelled,,alephtwo,Completed,2,0,,,,,
